Municipio ,Votacion,LATITUD,LONGITUD
Manizales, 22795 ,5.08343301,-75.50727881
Aguadas, 137 ,5.616204006,-75.455447104
Anserma, 210 ,5.20029922,-75.752890779
Aranzazu, 293 ,5.265539969,-75.473926194
Belalcázar,0,4.99467728,-75.812259892
Chinchiná,0,4.974340569,-75.659546861
Filadelfia, 236 ,5.285743777,-75.589787839
La Dorada, 853 ,5.472427648170989, -74.66786397206171
La Merced, 19 ,5.393185716,-75.557910707
Manzanares, 110 ,5.23295391,-75.152634472
Marmato,0,5.492632029,-75.60209955
Marquetalia, 842 ,5.309142491,-75.041178923
Marulanda, 47 ,5.235585244,-75.283166479
Neira,0,5.183358589,-75.506929774
Norcasia,0,5.575992558345423, -74.88813046036037
Pácora,0,5.500035035,-75.482450565
Palestina, 549 ,5.0202872082553425, -75.62141767824286
Pensilvania, 49 ,5.407187836,-75.166839962
Riosucio, 440 ,5.097563816,-75.733351662
Risaralda,0,5.163724872866919, -75.76687639702723
Salamina, 62 ,5.404704251517819,-75.48697736283569
Samaná, 848 ,5.412413105979252, -74.99037611524157
San José, 27 ,5.45295802,-75.640357045
Supía, 275 ,5.447542859,-74.836225017
Victoria,0,5.317157141733174, -74.91107623638379
Villamaría, 1071 ,5.045975044506184,-75.51258566300935
Viterbo, 346 ,5.062466711194526, -75.87240516378299
